USBlyzer Report

Capture List

Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
URB,0017-0006,21:05:15.687,8.841556 s,136.895 ms,Bulk or Interrupt Transfer,259 bytes data,01 03 01 01 3C 46 69 72...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 03 01 01 3C 46 69 72 6D 77 61 72 65 48 65 61 64 65 72 20 53 63 68 65 6D 61 56 65 72 73 69 6F 6E 3D 27 31 27 20 41 70 69 56 65 72 73 69 6F 6E 3D 27 32 2E 32 2E 30 2E 30 27 20 54 65 73 74 41 70 69 56 65 72 73 69 6F 6E 3D 27 32 2E 34 2E 30 2E 30 27 20 50 72 6F 64 75 63 74 49 64 3D 27 47 34 52 65 63 65 69 76 65 72 27 20 50 72 6F 64 75 63 74 4E 61 6D 65 3D 27 44 65 78 63 6F 6D 20 47 34 20 52 65 63 65 69 76 65 72 27 20 53 6F 66 74 77 61 72 65 4E 75 6D 62 65 72 3D 27 53 57 31 30 30 35 30 27 20 46 69 72 6D 77 61 72 65 56 65 72 73 69 6F 6E 3D 27 32 2E 30 2E 31 2E 31 30 34 27 20 50 6F 72 74 56 65 72 73 69 6F 6E 3D 27 34 2E 36 2E 34 2E 34 35 27 20 52 46 56 65 72 73 69 6F 6E 3D 27 31 2E 30 2E 30 2E 32 37 27 20 44 65 78 42 6F 6F 74 56 65 72 73 69 6F 6E 3D 27 33 27 2F
URB,0018,21:05:15.687,8.841563 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0019,21:05:15.687,8.847063 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 00 0F F8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 07 00 10 00 0F F8
URB,0020-0019,21:05:15.687,8.848563 s,1.499 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0021-0018,21:05:15.703,8.860748 s,19.184 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0022,21:05:15.703,8.860756 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0023,21:05:15.703,8.864240 s,,Bulk or Interrupt Transfer,12 bytes data,01 0C 00 11 00 00 00 00...,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 0C 00 11 00 00 00 00 00 01 6E 45
URB,0024-0023,21:05:15.703,8.866562 s,2.322 ms,Bulk or Interrupt Transfer,12 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0025-0022,21:05:15.734,8.885422 s,24.666 ms,Bulk or Interrupt Transfer,534 bytes data,01 16 02 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 16 02 01 00 00 00 00 01 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 7D 7D F6 89 07 FD 85 89 07 3C 4D 61 6E 75 66 61 63 74 75 72 69 6E 67 50 61 72 61 6D 65 74 65 72 73 20 53 65 72 69 61 6C 4E 75 6D 62 65 72 3D 22 73 6D 33 30 31 34 30 37 35 32 22 20 48 61 72 64 77 61 72 65 50 61 72 74 4E 75 6D 62 65 72 3D 22 4D 44 31 30 36 30 2D 4D 54 32 30 36 34 39 22 20 48 61 72 64 77 61 72 65 52 65 76 69 73 69 6F 6E 3D 22 31 34 22 20 44 61 74 65 54 69 6D 65 43 72 65 61 74 65 64 3D 22 32 30 31 33 2D 30 31 2D 30 33 20 31 33 3A 35 34 3A 30 35 2E 35 33 36 20 2D 30 38 3A 30 30 22 20 48 61 72 64 77 61 72 65 49 64 3D 22 7B 37 35 42 37 43 38 38 36 2D 46 45 31 30 2D 34 32 30 46 2D 42 35 31 31 2D 32 44 33 46 39 42 39 42 45 45 37 45 7D 22 20 2F 3E 00 00 00 00
URB,0026,21:05:15.734,8.885430 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0027,21:05:15.734,8.892706 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 27 91 90,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 06 00 27 91 90
URB,0028-0027,21:05:15.734,8.894788 s,2.082 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0029-0026,21:05:15.750,8.900584 s,15.154 ms,Bulk or Interrupt Transfer,7 bytes data,01 07 00 01 00 4D C8,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 07 00 01 00 4D C8
URB,0030,21:05:15.750,8.900589 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
Cleanup,0031,21:05:15.750,8.902734 s,,Cleanup,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
Cleanup,0032-0031,21:05:15.750,8.902738 s,4 us,Cleanup,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
Close,0033,21:05:15.750,8.902740 s,,Close,,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
URB,0034,21:05:15.750,8.902745 s,,Class Interface,Set Control Line State (Ifc:0),,out,,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA8004555860h,
URB,0035-0034,21:05:15.750,8.903534 s,789 us,Control Transfer,Set Control Line State (Ifc:0),,out,--:--:00,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA8004555860h,Success (Success)
Close,0036-0033,21:05:15.750,8.903542 s,802 us,Close,,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
Create,0037,21:05:15.781,8.936007 s,,Create,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
Create,0038-0037,21:05:15.781,8.936031 s,24 us,Create,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
URB,0039,21:05:15.781,8.936075 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 0A 5E 65,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 06 00 0A 5E 65
URB,0040-0039,21:05:15.781,8.938597 s,2.522 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0041-0030,21:05:15.796,8.950609 s,50.019 ms,Bulk or Interrupt Transfer,6 bytes data,01 06 00 01 35 D4,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 06 00 01 35 D4
URB,0042,21:05:15.796,8.950617 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
Cleanup,0043,21:05:15.796,8.950977 s,,Cleanup,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
Cleanup,0044-0043,21:05:15.796,8.950982 s,4 us,Cleanup,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
Close,0045,21:05:15.796,8.950983 s,,Close,,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
URB,0046,21:05:15.796,8.950989 s,,Class Interface,Set Control Line State (Ifc:0),,out,,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA8004555860h,
URB,0047-0046,21:05:15.796,8.953485 s,2.496 ms,Control Transfer,Set Control Line State (Ifc:0),,out,--:--:00,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA8004555860h,Success (Success)
Close,0048-0045,21:05:15.796,8.954087 s,3.103 ms,Close,,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
Create,0049,21:05:15.906,9.057852 s,,Create,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
Create,0050-0049,21:05:15.906,9.057878 s,26 us,Create,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
URB,0051,21:05:15.906,9.057916 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 0B 7F 75,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 06 00 0B 7F 75
URB,0052-0051,21:05:15.906,9.067813 s,9.897 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0053-0042,21:05:15.937,9.087638 s,137.021 ms,Bulk or Interrupt Transfer,259 bytes data,01 03 01 01 3C 46 69 72...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 03 01 01 3C 46 69 72 6D 77 61 72 65 48 65 61 64 65 72 20 53 63 68 65 6D 61 56 65 72 73 69 6F 6E 3D 27 31 27 20 41 70 69 56 65 72 73 69 6F 6E 3D 27 32 2E 32 2E 30 2E 30 27 20 54 65 73 74 41 70 69 56 65 72 73 69 6F 6E 3D 27 32 2E 34 2E 30 2E 30 27 20 50 72 6F 64 75 63 74 49 64 3D 27 47 34 52 65 63 65 69 76 65 72 27 20 50 72 6F 64 75 63 74 4E 61 6D 65 3D 27 44 65 78 63 6F 6D 20 47 34 20 52 65 63 65 69 76 65 72 27 20 53 6F 66 74 77 61 72 65 4E 75 6D 62 65 72 3D 27 53 57 31 30 30 35 30 27 20 46 69 72 6D 77 61 72 65 56 65 72 73 69 6F 6E 3D 27 32 2E 30 2E 31 2E 31 30 34 27 20 50 6F 72 74 56 65 72 73 69 6F 6E 3D 27 34 2E 36 2E 34 2E 34 35 27 20 52 46 56 65 72 73 69 6F 6E 3D 27 31 2E 30 2E 30 2E 32 37 27 20 44 65 78 42 6F 6F 74 56 65 72 73 69 6F 6E 3D 27 33 27 2F
URB,0054,21:05:15.937,9.087645 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0055,21:05:15.937,9.087881 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 02 4D D8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 07 00 10 02 4D D8
URB,0056-0055,21:05:15.937,9.090611 s,2.731 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0057-0054,21:05:15.953,9.107659 s,20.014 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0058,21:05:15.953,9.107665 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0059,21:05:15.953,9.108540 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 02 4D D8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 07 00 10 02 4D D8
URB,0060-0059,21:05:15.953,9.110687 s,2.147 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0061-0058,21:05:15.968,9.126799 s,19.134 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0062,21:05:15.968,9.126806 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0063,21:05:15.968,9.126899 s,,Bulk or Interrupt Transfer,12 bytes data,01 0C 00 11 02 00 00 00...,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 0C 00 11 02 00 00 00 00 01 2E CE
URB,0064-0063,21:05:15.968,9.129756 s,2.857 ms,Bulk or Interrupt Transfer,12 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0065-0062,21:05:16.000,9.151841 s,25.034 ms,Bulk or Interrupt Transfer,534 bytes data,01 16 02 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 16 02 01 00 00 00 00 01 00 00 00 02 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 79 8D 7D F6 89 07 FD 85 89 07 3C 50 43 50 61 72 61 6D 65 74 65 72 52 65 63 6F 72 64 20 52 65 63 65 69 76 65 72 49 64 3D 22 7B 45 35 37 39 45 42 33 32 2D 32 31 34 31 2D 34 42 45 34 2D 38 31 44 43 2D 34 33 34 31 32 44 33 37 30 36 45 38 7D 22 20 46 69 72 6D 77 61 72 65 49 6D 61 67 65 49 64 3D 22 22 20 44 61 74 65 54 69 6D 65 43 72 65 61 74 65 64 3D 22 32 30 31 33 2D 30 31 2D 30 33 20 31 33 3A 35 34 3A 30 35 2E 37 32 33 20 2D 30 38 3A 30 30 22 20 4E 69 63 6B 6E 61 6D 65 3D 22 73 6D 33 30 31 34 30 37 35 32 22 20 2F 3E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0066,21:05:16.000,9.151848 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0067,21:05:16.000,9.155130 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 00 0F F8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 07 00 10 00 0F F8
URB,0068-0067,21:05:16.000,9.155475 s,344 us,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0069-0066,21:05:16.015,9.168486 s,16.638 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0070,21:05:16.015,9.168492 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0071,21:05:16.015,9.168584 s,,Bulk or Interrupt Transfer,12 bytes data,01 0C 00 11 00 00 00 00...,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 0C 00 11 00 00 00 00 00 01 6E 45
URB,0072-0071,21:05:16.015,9.171868 s,3.284 ms,Bulk or Interrupt Transfer,12 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0073-0070,21:05:16.031,9.193936 s,25.444 ms,Bulk or Interrupt Transfer,534 bytes data,01 16 02 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 16 02 01 00 00 00 00 01 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 7D 7D F6 89 07 FD 85 89 07 3C 4D 61 6E 75 66 61 63 74 75 72 69 6E 67 50 61 72 61 6D 65 74 65 72 73 20 53 65 72 69 61 6C 4E 75 6D 62 65 72 3D 22 73 6D 33 30 31 34 30 37 35 32 22 20 48 61 72 64 77 61 72 65 50 61 72 74 4E 75 6D 62 65 72 3D 22 4D 44 31 30 36 30 2D 4D 54 32 30 36 34 39 22 20 48 61 72 64 77 61 72 65 52 65 76 69 73 69 6F 6E 3D 22 31 34 22 20 44 61 74 65 54 69 6D 65 43 72 65 61 74 65 64 3D 22 32 30 31 33 2D 30 31 2D 30 33 20 31 33 3A 35 34 3A 30 35 2E 35 33 36 20 2D 30 38 3A 30 30 22 20 48 61 72 64 77 61 72 65 49 64 3D 22 7B 37 35 42 37 43 38 38 36 2D 46 45 31 30 2D 34 32 30 46 2D 42 35 31 31 2D 32 44 33 46 39 42 39 42 45 45 37 45 7D 22 20 2F 3E 00 00 00 00
URB,0074,21:05:16.031,9.193948 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0075,21:05:16.640,9.805300 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 0B 7F 75,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 0B 7F 75
URB,0076-0075,21:05:16.656,9.807068 s,1.768 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0077-0074,21:05:16.671,9.834838 s,640.890 ms,Bulk or Interrupt Transfer,259 bytes data,01 03 01 01 3C 46 69 72...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 03 01 01 3C 46 69 72 6D 77 61 72 65 48 65 61 64 65 72 20 53 63 68 65 6D 61 56 65 72 73 69 6F 6E 3D 27 31 27 20 41 70 69 56 65 72 73 69 6F 6E 3D 27 32 2E 32 2E 30 2E 30 27 20 54 65 73 74 41 70 69 56 65 72 73 69 6F 6E 3D 27 32 2E 34 2E 30 2E 30 27 20 50 72 6F 64 75 63 74 49 64 3D 27 47 34 52 65 63 65 69 76 65 72 27 20 50 72 6F 64 75 63 74 4E 61 6D 65 3D 27 44 65 78 63 6F 6D 20 47 34 20 52 65 63 65 69 76 65 72 27 20 53 6F 66 74 77 61 72 65 4E 75 6D 62 65 72 3D 27 53 57 31 30 30 35 30 27 20 46 69 72 6D 77 61 72 65 56 65 72 73 69 6F 6E 3D 27 32 2E 30 2E 31 2E 31 30 34 27 20 50 6F 72 74 56 65 72 73 69 6F 6E 3D 27 34 2E 36 2E 34 2E 34 35 27 20 52 46 56 65 72 73 69 6F 6E 3D 27 31 2E 30 2E 30 2E 32 37 27 20 44 65 78 42 6F 6F 74 56 65 72 73 69 6F 6E 3D 27 33 27 2F
URB,0078,21:05:16.671,9.834845 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0079,21:05:16.671,9.835309 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 00 0F F8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 00 0F F8
URB,0080-0079,21:05:16.687,9.837781 s,2.472 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0081-0078,21:05:16.703,9.853074 s,18.229 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0082,21:05:16.703,9.853079 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0083,21:05:16.703,9.854434 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 00 0F F8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 00 0F F8
URB,0084-0083,21:05:16.703,9.855759 s,1.325 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0085-0082,21:05:16.718,9.872016 s,18.937 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0086,21:05:16.718,9.872023 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0087,21:05:16.718,9.872108 s,,Bulk or Interrupt Transfer,12 bytes data,01 0C 00 11 00 00 00 00...,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 0C 00 11 00 00 00 00 00 01 6E 45
URB,0088-0087,21:05:16.718,9.874875 s,2.766 ms,Bulk or Interrupt Transfer,12 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0089-0086,21:05:16.734,9.897114 s,25.092 ms,Bulk or Interrupt Transfer,534 bytes data,01 16 02 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 16 02 01 00 00 00 00 01 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 7D 7D F6 89 07 FD 85 89 07 3C 4D 61 6E 75 66 61 63 74 75 72 69 6E 67 50 61 72 61 6D 65 74 65 72 73 20 53 65 72 69 61 6C 4E 75 6D 62 65 72 3D 22 73 6D 33 30 31 34 30 37 35 32 22 20 48 61 72 64 77 61 72 65 50 61 72 74 4E 75 6D 62 65 72 3D 22 4D 44 31 30 36 30 2D 4D 54 32 30 36 34 39 22 20 48 61 72 64 77 61 72 65 52 65 76 69 73 69 6F 6E 3D 22 31 34 22 20 44 61 74 65 54 69 6D 65 43 72 65 61 74 65 64 3D 22 32 30 31 33 2D 30 31 2D 30 33 20 31 33 3A 35 34 3A 30 35 2E 35 33 36 20 2D 30 38 3A 30 30 22 20 48 61 72 64 77 61 72 65 49 64 3D 22 7B 37 35 42 37 43 38 38 36 2D 46 45 31 30 2D 34 32 30 46 2D 42 35 31 31 2D 32 44 33 46 39 42 39 42 45 45 37 45 7D 22 20 2F 3E 00 00 00 00
URB,0090,21:05:16.734,9.897120 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0091,21:05:16.750,9.899489 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 02 4D D8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 02 4D D8
